"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jan-2024","EQ","790.00","792.80","761.05","802.80","771.00","772.80","776.92","1,408.85","410.40","1,14,69,695","8,91,09,81,949.80","2,68,005"
"10-Jan-2024","EQ","677.00","802.80","675.10","1,338.00","802.80","802.80","748.42","1,408.85","410.40","2,24,42,717","16,79,65,65,953.35","4,02,325"
"09-Jan-2024","EQ","1,301.00","1,371.75","1,301.00","1,293.65","1,342.00","1,338.00","1,341.63","1,408.85","410.40","33,55,705","4,50,21,28,660.60","1,15,532"
"08-Jan-2024","EQ","1,369.00","1,370.00","1,222.55","1,362.70","1,294.00","1,293.65","1,313.92","1,408.85","410.40","22,99,797","3,02,17,45,630.05","1,01,884"
"05-Jan-2024","EQ","1,368.35","1,383.90","1,348.00","1,363.25","1,361.00","1,362.70","1,369.59","1,408.85","410.40","18,22,635","2,49,62,60,899.85","50,988"
"04-Jan-2024","EQ","1,356.20","1,375.80","1,352.00","1,351.20","1,367.00","1,363.25","1,364.40","1,408.85","410.40","13,07,910","1,78,45,12,911.70","43,838"
"03-Jan-2024","EQ","1,355.95","1,368.00","1,336.30","1,353.75","1,352.00","1,351.20","1,352.62","1,408.85","410.40","11,04,286","1,49,36,75,956.20","42,542"
"02-Jan-2024","EQ","1,369.85","1,374.00","1,316.75","1,362.85","1,354.95","1,353.75","1,348.84","1,408.85","410.40","13,84,734","1,86,77,83,062.05","49,038"
"01-Jan-2024","EQ","1,360.25","1,382.50","1,358.00","1,353.95","1,362.00","1,362.85","1,370.28","1,408.85","410.40","14,08,663","1,93,02,63,889.45","53,973"
"29-Dec-2023","EQ","1,350.90","1,376.00","1,341.00","1,345.05","1,355.10","1,353.95","1,356.76","1,408.85","410.40","17,48,151","2,37,18,12,980.20","56,597"
"28-Dec-2023","EQ","1,365.90","1,376.40","1,337.05","1,359.05","1,344.50","1,345.05","1,357.08","1,408.85","410.40","17,40,870","2,36,25,06,992.40","58,846"
